recipeid,recipename,ingredients,description,diet_type,recipe_steps,totaltime
31,Butter Chicken,"chicken, yogurt, lemon juice, spices, butter, onion, garlic, tomatoes, cream, fenugreek",Rich and creamy butter chicken with a perfect balance of spice and flavor,Non-Vegetarian,"1. Marinate chicken. 2. Cook onion, garlic, tomato. 3. Add chicken and cook. 4. Add cream and fenugreek.",40
32,"chicken karahi chicken,","chicken, oil, tomatoes, garlic, ginger, salt, paprika, black pepper, chilli flakes, cumin, coriander, kalonji, green chillies, coriander leaves, sliced ginger","spicy and flavorful chicken curry cooked with tomatoes, garlic, and ginger in traditional karahi style.",Non-Vegetarian,1. Heat oil. 2. Add spices and chicken. 3. Cook with tomatoes and ginger. 4. Garnish with coriander.,35
33,dal chicken,"chicken, oil, onions, garlic, salt, turmeric, red chilli powder, cumin powder, coriander powder, tomatoes","a rich and flavorful chicken and lentil curry, perfect for hearty family meals.",Non-Vegetarian,1. Saute onions and garlic. 2. Add spices and chicken. 3. Cook slowly with lentils and tomatoes.,105
34,aloo keema," oil, onion, garlic, ginger, tomatoes, salt, coriander powder, cumin, red chilli powder, garam masala, paprika, pepper, potatoes, fresh coriander","minced lamb curry cooked with tomatoes and aromatic spices, finished with soft potato slices for a classic comfort meal.",Non-Vegetarian,1. Cook minced lamb with spices. 2. Add tomatoes and potatoes. 3. Simmer until tender,65
35,chicken jalfrezi,"boneless chicken, oil, onions, garlic, ginger, green chillies, tomato puree, salt, paprika, black pepper, coriander powder, cumin seeds, turmeric, tomatoes, capsicums, white vinegar, fresh coriander","popular chicken curry with capsicum and bold spices, this easy and flavorful dish is perfect with rice or naan.",Non-Vegetarian,1. Fry onions and spices. 2. Add chicken and capsicum. 3. Stir in tomato puree and vinegar. 4. Cook till done.,65
36,plain basmati rice,"basmati rice, salt, butter or ghee, water","fluffy and aromatic basmati rice, perfectly cooked with butter or ghee — an essential side dish for any curry or desi meal.",Vegetarian,1. Rinse rice. 2. Boil water with salt and butter. 3. Cook rice till fluffy.,60
37,green chicken,"fresh coriander, fresh mint, yogurt, green chillies, white vinegar, oil, boneless chicken, salt, black pepper","a quick and tangy green chicken curry made with herbs, yogurt, and spices — fresh, flavorful, and perfect with naan or salad.",Non-Vegetarian,1. Blend herbs and yogurt. 2. Marinate chicken. 3. Cook chicken with marinade.,25
38,lamb karahi lamb,"mutton, oil or ghee, tomatoes, garlic, ginger, salt, paprika, black pepper, chilli flakes, cumin powder, coriander powder, nigella seeds, green chillies, fresh coriander, ginger matchsticks","a rich and traditional lamb karahi recipe packed with bold spices, fresh tomatoes, and aromatic herbs — a true desi comfort dish.",Non-Vegetarian,1. Heat oil/ghee. 2. Add spices and lamb. 3. Cook with tomatoes and herbs. 4. Garnish with ginger matchsticks.,100
39,chicken korma chicken,"oil or ghee, onions, garlic, ginger, yogurt, cashew paste, black cardamoms, green cardamoms, cloves, bay leaf, black peppercorns, cinnamon stick, coriander powder, cumin powder, red chilli powder, salt, kewra water, almonds","an authentic and luxurious chicken korma made with whole spices, yogurt, and nutty richness — perfect for special occasions.",Non-Vegetarian,. Fry onions and spices. 2. Add chicken and yogurt mixture. 3. Cook slow with cashew paste and nuts. 4. Add kewra water at the end.,95
40,shami kebab,"split yellow lentils (chana daal), garlic, ginger, salt, cumin seeds, coriander powder, black pepper, chilli flakes, chat masala, cinnamon stick, black cardamoms, cloves, green cardamoms, fresh coriander, onion, green chillies, lemon juice, eggs, oil","a traditional pakistani kebab recipe made with lentils and meat, seasoned with spices and herbs — ideal for snacks, sandwiches, or festive meals.",Non-Vegetarian,1. Cook meat and lentils. 2. Blend with spices and herbs. 3. Shape into patties and fry.,140
41,mutton yakhni pulao,"mutton, basmati rice, oil or ghee, onions, garlic, green chillies, salt, black cardamoms, green cardamoms, coriander seeds, black peppercorns, cumin seeds, cloves, bay leaves, cinnamon stick, water","a traditional and aromatic mutton and rice pilaf, slow-cooked in a flavorful broth with whole spices — a festive and comforting dish from the heart of pakistan.",Non-Vegetarian,1. Prepare mutton broth with spices. 2. Cook rice in broth. 3. Combine and simmer till done.,165
42,Maash Ki Daal,"Urad Lentils raw urad lentils, turmeric, salt, oil, onion, tomatoes, garlic, ginger, red chilli powder, coriander powder, cumin powder, cumin seeds, paprika Kashmiri red chilli powder, fresh coriander, green chillies, ginger slivers, dried red chilli flakes","A delicious, creamy daal cooked in a typical onion and tomato masala and served with lashings of butter.",Vegetarian,1. Cook lentils till soft. 2. Prepare onion-tomato masala. 3. Mix and simmer. 4. Garnish with coriander and butter.,55
43,khichdi,"a simple pakistani dal khichdi white basmati rice, moong lentils, masoor lentils, ghee or butter, bay leaves, cinnamon, cumin seeds, onion, salt, black pepper, yogurt, butter","a comforting one-pot meal made with rice and lentils, flavored with aromatic spices and served with yogurt and butter.",Vegetarian,1. Wash rice and lentils. 2. Cook with spices and ghee. 3. Serve hot with yogurt and butter.,50
44,tadka dal moong daal lentils,"daal lentils, red masoor lentils, salt, turmeric, red chilli powder, coriander powder, oil, onion, garlic, cumin seeds","a classic indian dal made with moong and masoor lentils, tempered with garlic, cumin, and spices for a flavorful finish.",Vegetarian,"Cook lentils, then temper with spices and garlic.",30
