id,name,link,description,cooktime,ingredients,recipe
0,green chicken | hariyali chicken | hara masala chicken,https://fatimacooks.net/green-chicken-hariyali-hara-masala/,"A super quick and easy green chicken/Hariyali chicken recipe. This recipe is tangy, fresh-tasting and goes so well with a simple salad and naan! Perfect for a quick weeknight dinner",25 minutes,"5 cloves   garlic | 2 cups  (30 g) fresh coriander leaves and stalks | ⅔ cup  (30 g) fresh mint leaves only | 1 cup  (250 g) yogurt full fat and ideally Greek | 6-8   green chillies for a spicy kick otherwise 4 for a mild flavour | 6 tablespoon  (90 ml) white vinegar | ¼ cup  (65 ml) oil as per preference | 1.1 lb  (½ kg) boneless chicken ideally thigh, cut into bite sized pieces | 1-1.5 teaspoon   salt or to taste | 2 teaspoon   coarsely ground black pepper or to taste","In a blender, blitz the garlic, coriander, mint, yogurt, chillies and vinegar until smooth. Set aside until needed. Add as little water as possible. | In a wok or pan, add your oil. Heat up and add in the chicken pieces. A few minutes in, once the chicken begins to gain some colour, add the salt. Fry the chicken until it no longer remains pink and begins to turn golden. | Add the blended mixture into the pan. Cook this on high, stirring often until the mixture begins to thicken. You want to cook this down until the mixture begins to coat the pieces of the chicken and looks glossy. Once the mixture has thickened, have a taste-check and add the coarsely ground black pepper, adjusting if you need it as per preference. | If you would like your green chicken to be as dry as shown in the images, you can stop cooking it once it looks like the pictures. If you would like some more sauce, add water as per your liking and cook on a medium heat until the sauce comes to a slow simmer. | Skim off any excess oil if needed before serving."
1,the best chicken jalfrezi!!,https://fatimacooks.net/chicken-jalfrezi-recipe/,Chicken Jalfrezi is a popular chicken curry recipe made using boneless chicken pieces and capsicum. This easy and delicious recipe will surprise you with it's flavour!,1 hour,"½ cup  (125 ml) oil | 3   (330 g) onions chopped | 1   whole bulb of garlic, minced | 1   large chunk of ginger minced (about 1-2 tbsp, minced) | 4   green chillies whole | 1 teaspoon   tomato puree/concentrate optional but highly recommended | 2 teaspoon   salt or to taste | 2 teaspoon   paprika or Kashmir chilli powder | 1.5 teaspoon   crushed black pepper | 1 teaspoon   coriander powder | 1 teaspoon   cumin seeds | 0.5 teaspoon   turmeric powder | 3   (350 g) tomatoes chopped | 1.8 lb  (800 g) boneless chicken, cut into bite-sized pieces, preferably thigh | 3   (300 g) capsicums preferably different colours, diced into bite-sized pieces | 5 tablespoon  (75 ml) white vinegar | Fresh coriander for garnish","In a pan, add the oil/ghee. Add in the onions and fry on a medium-high heat, stirring regularly to ensure the onions brown evenly. | Once the onions are beginning to turn golden (between 10-15 minutes) add the garlic, ginger and green chillies. Fry this for a few minutes. | Add in the tomatoes and tomato puree. Turn the heat up to high and fry the mixture until most of the water dries out, the oil begins to separate and the mixture looks jammy. | Add the chicken pieces and all the spices. Fry these on high heat, stirring regularly to ensure the chicken does not burn and is coloured evenly. Continue to fry this for about 10 minutes. | Add about ⅓ cup of water, cover and allow the chicken to cook for about 20 minutes. | Add in the vinegar and the diced capsicum. Stir through, then turn the heat down to low and allow this to cook for between 5-10 minutes, covered with the lid. The capsicum should remain crunchy. | Finish off by stirring in some chopped coriander before serving."
2,malai chicken tikka,https://fatimacooks.net/malai-chicken-tikka/,No Description ❌,No cooktime ❌,1.1 lb  (½ kg) boneless chicken ideally breast | 3 tablespoon  (60 g) full fat yogurt | 3 tablespoon  (45 ml) double/heavy cream | 10   (15 g) cashews can substitute for 10 blanched almonds or 1 tablespoon cream cheese | 4   green chillies | 6 cloves   garlic | 1 teaspoon   fresh ginger | 4 tablespoon  (60 ml) lemon juice | 1 teaspoon   coriander seeds coarsely ground (or 1tsp coriander powder) | 1 teaspoon   cumin seeds coarsely ground (or 1tsp cumin powder) | ¾ teaspoon   kasoori methi dried fenugreek | ¾ teaspoon   salt or to taste | 1 tablespoon  (10 g) chopped coriander fresh,"Blend the double cream, yogurt, cashews, garlic, ginger, green chillies till smooth. Add into a large mixing bowl. | Mix in the rest of the ingredients to the large bowl. | Allow the chicken to marinate in this paste ideally overnight, but for a minimum of 6 hours. | Once the marination time is up, you can proceed to cooking the chicken as per your preference - pan-fry for 10 minutes, air fry for 10-12 minutes, over an open flam/barbeque for 8-10 minutes or in the oven for 16-18 minutes. See the blog post for more details about these methods"
3,pakistani chicken pilau (chicken pulao rice),https://fatimacooks.net/chicken-pilau-pulao/,"This is a classic Pakistani dish that is often served at dinner parties. It is a delicious meal which uses no chilli, making this a great dish to serve at dinners where you aren't sure of how much spice your guests can take! The lack of chilli also makes it a good option to serve kids. People will just keep coming back for more with this delectable recipe!",1 hour 10 minutes,"2.2 lb  (1 kg) chicken, bone in | 4 teaspoon   salt (please adjust to taste, see notes below) | 2 tablespoon   coriander seeds | 2 tablespoon   black pepper corns | 2   bay leaf | 1   medium stick cinnamon | 2   black cardamoms | 5   green cardamoms | 10   cloves | 1   star anise | 1   onions | 8   garlic cloves | 4   (60 g) tbsp ghee | 2   onions, sliced finely | 2 teaspoon   cumin seeds | 4 cups/1l broth (reserved from Part 1) (IMPORTANT: please read notes at the bottom if you are changing the serving size) | 3 cups  (600 g) basmati rice (washed and soaked in water for at least 30 minutes before using)","First, we make the broth (yakhni). In a pot, add the chicken, coriander seeds, black pepper corns, garlic cloves, bay leaf, cinnamon, cardamoms, cloves, star anise, salt and 1 onion (it doesn't have to be chopped). Cover with enough water to submerge the chicken. | Bring to a boil, then cover and allow to simmer on medium-low heat for 20 minutes. | Strain the broth using a colander. Discard the whole spices and reserve the liquid and chicken (keep both separate) until needed. You can squash the softened cloves of garlic into the liquid. Refer to the images in the blog post if needed. | Now, in a wide pot, heat the ghee on medium heat. Once hot, add the sliced onions. Sauté till they are golden, stirring often to ensure they don't burn - about 8-12 minutes. The darker the onions are, the darker the colour of the rice will be. Add the cumin seeds once the onions turn transparent and limp. | Once the onions turn golden, add the chicken you reserved from earlier. Fry everything till the chicken turns golden - about 3-4 minutes. | Now, add the basmati rice and the broth you reserved from earlier. If you do not have enough broth, you can make up the shortfall with water. Bring to a boil, then cover and simmer on low till the water dries up and the rice is soft, about 10 minutes (give or take). | Turn the heat down very low and allow the rice to steam with the lid on (ideally lined with a cloth/towel) for 15-20 minutes. | Your Chicken Pilau is ready! Fluff up well once the steam time is over, otherwise the rice may clump up."
4,chicken karahi recipe,https://fatimacooks.net/chicken-karahi-recipe-pictures-tips-authentic/,No Description ❌,35 minutes,"120 ml  (120 ml) oil | 1   small chicken, bone in and cut into curry pieces  (approx 700-800g or 1.3-1.7lb | 5 medium sized  (600 g) tomatoes, very finely diced (do NOT blend or purée) | 1   bulb garlic, minced approximately 2.5 tbsp | 2 tablespoon   ginger, minced | 1-2 teaspoon   salt or to taste | 2 teaspoon   paprika/kashmiri red chilli (essential for a red colour) | 1.5 teaspoon   crushed black pepper | 1 teaspoon   chilli flakes | 0.5 teaspoon   cumin powder | 0.5 teaspoon   coriander powder | 1 teaspoon   kalonji onion seed, optional | 2   green chillies slit in half lengthwise | 0.5   bunch coriander chopped | ¼ cup  (25 g) ginger  cut into matchstick pieces","Heat up your oil in a karahi dish, wok, cast iron skillet or any pan suitable for stir frying, keeping the flame on high for the entire duration | Add the chicken in. Fry this, stirring constantly until the chicken begins to take on a golden colour in some places. | Add in the minced ginger and garlic. Give this a fry alongside the chicken, again stirring constantly and ensuring nothing burns. Continue to fry this until the raw smell of the ginger and garlic begins to fade. | Add all the chopped tomatoes and spices. Stir in and allow this all to cook on high, stirring to ensure nothing catches at the bottom of the pan. | Continue to cook this for about 20 minutes, over a high heat. The oil will separate, the tomatoes will thicken and begin to coat the chicken, and you will see holes begin to bubble in the gravy. The chicken should be cooked through at this point once the oil rises to the top and you see the holes coming through. | Add the coriander and green chillies, stir in, turn the heat down to a low flame and allow everything to simmer together for 5 minutes with the lid still off. | Serve with the matchstick-cut ginger and additional coriander/green chilli if desired."
5,quick 30 minute butter chicken,https://fatimacooks.net/the-only-butter-chicken-recipe-you-need/,A finger-lickingly delicious Butter Chicken recipe that is the perfect balance of buttery and flavoursome without being overly rich and sweet. This is THE only Butter Chicken recipe you'll ever need!,40 minutes,"1.1 lb  (½ kg) boneless chicken cut into bite sized pieces - I prefer thigh | 1.5 tablespoon  (30  g) Greek or full fat yogurt | 2 tablespoon  (30 ml) lemon juice | 1 teaspoon   coriander powder | 0.5 teaspoon   turmeric powder | 0.5 teaspoon   garam masala powder | 1 teaspoon   red chilli powder | ½ teaspoon   salt to taste | ¼ cup  (65 ml) neutral oil e.g. sunflower oil, vegetable oil, canola oil | 2 teaspoon  (10 g) butter | 1 medium  (150 g) onion chopped | 2 tablespoon   chopped garlic | 1.5 teaspoon   cumin seeds | 1   chopped green chilli | 0.5 teaspoon   turmeric powder | 2 teaspoon   coriander powder | 4 teaspoon   mild paprika powder if yours isn't mild, add 2 initially and adjust as per preference | 1 ½ teaspoon   salt to taste | 5 small  (375 g) tomatoes chopped | ½ cup  (120 ml) double cream heavy whipping cream | 2 tablespoon   dried fenugreek kasoori methi | 2 tablespoon   chopped coriander | 2 teaspoon  (10 grams) butter, to stir in at the end","(optional but recommended step) Marinate the chicken in all the marinade ingredients for one hour. | Air fry, bake or grill the chicken pieces until they are charred and cooked through. This will take between 12-15 minutes at 180-200℃. Whilst the chicken is cooking, continue with the next steps. | In a deep pot or pan, heat the oil and butter. | Once the butter has melted, add the onions, garlic and cumin seeds. Sauté for a few minutes, until the onions begin to turn brown. We do not want to brown these much - this will take about 8-10 minutes. | Add the green chilli and all the powdered spices. Sauté for 2-3 minutes. | Add the tomatoes and sauté for a minute, then proceed to add 1.25 (300ml) water. Cover, turn the heat down to low and cook for 5-7 minutes, until the tomatoes soften. | Use a hand blender to blend the sauce until smooth. | Add the double cream. Over a medium heat, bring the sauce to a very gentle simmer. | Once at a gentle simmer, add the chicken pieces. Stir, then cover and cook on low for 5 minutes. | Add and stir in the dried fenugreek and chopped coriander | Just before serving, add the final 2 teaspoon butter and stir it in."
6,chicken salan recipe | pakistani chicken curry,https://fatimacooks.net/chicken-salan-recipe-pakistani-chicken-curry/,"This classic, comforting chicken curry is one of those dishes a Pakistani kitchen is incomplete without. This is a versatile and forgiving dish. Use minimal ingredients and whatever spices you have access to to create this hug in a bowl",55 minutes,"½ cup  (125 ml) oil | 1 medium  (110 g) onion finely diced | 2   (240 g) tomatoes halved | 1 teaspoon   minced garlic | 1 teaspoon   minced ginger | 2-2.5 teaspoon   salt or to taste | 2 teaspoon   paprika or Kashmiri red chilli powder (essential for the colour) | 1 teaspoon   cumin powder | 1 teaspoon   cumin seeds | 2 teaspoon   coriander powder | ½ teaspoon   turmeric | 1   bay leaf | 2   whole cloves | 10   whole black peppercorns | 1   green cardamom | 1 teaspoon   chilli powder please taste before adding this, and adjust as per your spice preference | 1 medium    chicken, bone in, curry-cut into approx 12-14 pieces (approximately 800g or 1.7lb) | chopped coriander or dried fenugreek to garnish | ½ teaspoon   garam masala","Heat the oil in a deep pot | Add in the diced onions. Cook these on a medium high heat till the onions become translucent and begin to brown lightly on the edges, | Add the halved tomatoes and a splash of water. Cover and steam this on low for about 5 minutes, lid on. Once the 5 minutes are up, the skin should slip off the tomatoes easily. Remove and discard. | Turn the heat up, add the garlic, ginger and all the spices and dry out the masala, stirring constantly. Use your spoon to mash the onions and tomatoes as you stir. Alternatively, you can blend these to get a super smooth masala fast. | Once the masala is super dry, the oil begins to separate at the edges and the masala begins to catch at the bottom of the pot, add the chicken. | Sauté the chicken on high heat, again stirring constantly, until the chicken changes colour and no longer remains pink. | Add 2.5 cups of water. Bring to a boil, then cover and simmer on low for half an hour. | Once the chicken is cooked through, stir in the garam masala and coriander/dried fenugreek."
7,palak chicken - spinach & chicken curry,https://fatimacooks.net/palak-murgh-spinach-chicken/,No Description ❌,No cooktime ❌,"8 tablespoon  (120 ml) ghee | 1   (110 g) medium onion finely sliced | 2 tablespoon   freshly minced garlic | 1 tablespoon   freshly minced ginger | 1.5 lb  (700 g) chicken bone in | 14 cups  (420 g) fresh spinach, chopped finely | 1   black cardamom | 3   green cardamom pods | 1 teaspoon   coriander seeds | 1 teaspoon   cumin seeds | 1 inch   long piece cinnamon | 1 teaspoon   salt or to taste | 0.5 teaspoon   red chilli powder or to taste | 0.5 teaspoon   turmeric | 1 tablespoon   dried fenugreek leaves kasoori methi | 2 teaspoon  (10  g) butter","In a pot, heat the ghee and once hot, add the onions, garlic and ginger and fry till brown | Whilst the onions are frying, take the black and green cardamoms, coriander seeds, cumin seeds and cinnamon and grind this to a fine powder | Once the onions have browned, add the chicken. Fry till the chicken is no longer pink | Add in the spinach, the spice powder we ground, the salt, red chilli powder, dried fenugreek and turmeric. Mix in and then turn the flame to low, cover and cook for 20 minutes. | Uncover and turn the flame to a medium heat (or high, if you have a lot of water left). Dry out the curry, stirring often to make sure it doesn't burn. Continue to dry out the curry, sauteing it till most of the water has dried out and the spinach begins to cling onto the chicken pieces. | When plating the curry out, drizzle 2tsp of melted butter over, or place a small dollop of it in the middle. Serve with warm chapatti or rice. Enjoy!"
8,malai boneless chicken karahi,https://fatimacooks.net/malai-boneless-chicken-karahi/,No Description ❌,25 minutes,¾ cup  (185 ml) oil | 2 tablespoon   garlic minced | 1 tablespoon   ginger minced | 2.5 lb  (1  kg) boneless chicken chunks preferably thigh | 3.5 lb  (12) medium tomatoes chopped | ¾ cup  (185 ml) double cream | 3 teaspoon   salt or to taste | 2.5 teaspoon   red chilli powder or to taste | 3 teaspoon   cumin powder | 3 teaspoon   coriander powder | 0.5 teaspoon   turmeric | 5   pods green cardamom | Coriander for garnish | green chilli for garnish,"Heat up oil in a pan. Add the minced garlic and ginger and sauté for 1-2 minutes on high, till they are golden. | Add the chicken pieces and cardamom pods. Continue to sauté this on high heat till the chicken is no longer pink and is lightly browning, about 5 minutes. | Add the chopped tomatoes and all the spices. Continue to stir on high heat. The tomatoes will release a lot of their moisture, but you must continue to stir.. | Continue to sauté till all the moisture has dried out and the tomatoes cling to the chunks of chicken, as shown below. | At this point, add the double cream. Once again, sauté this till it dries down till how it looked like in step 4. | Garnish with coriander, green chilli, long strips of ginger and a drizzle of cream."
9,chicken yakhni,https://fatimacooks.net/chicken-yakhni/,No Description ❌,6 hours,1 lb  (500 g) chicken bones | 1   medium onion | 2 teaspoon   black pepper corns | 3 cloves   garlic peeled | 1 inch   ginger peeled | salt to taste | 1  gallon  (4 l) water,"In a pot, bring water to a rapid boil. Once boiling, add the chicken bones and allow to boil for 2-3 minutes. Once boiled, drain the water in a colander and give the chicken bones a quick rinse. | Now, add all the ingredients to the same pan, cover and leave on low heat. Allow to simmer for a minimum of 6hrs and up to 24hrs if you're up to it! | Strain all the ingredients. Your broth is ready!"
